OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV71,0,0,81,32,201,95,1149,182,772,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,
ASV46,827,872,2020,88,21,0,0,29,0,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Leptospiraceae,g__uncultured,
ASV50,342,297,805,39,213,67,227,188,848,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidia Incertae Sedis,f__Draconibacteriaceae,g__uncultured,
ASV59,144,623,1519,728,252,135,0,0,0,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
ASV15,39,27,141,0,20,0,234,288,1771,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Stappia,
ASV66,0,0,38,0,57,14,504,267,1241,k__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,,
ASV67,0,6,0,0,0,0,867,266,697,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__uncultured,
ASV38,0,0,0,158,1690,368,90,61,178,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Pelobacter,
ASV126,0,0,0,0,0,0,1484,89,355,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__uncultured,
ASV111,2785,426,370,0,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
