OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu199,37,21,39,107,102,47,147,16,103,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
Otu56,56,21,49,3,25,7,203,31,215,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__Hyphomonas,
Otu201,1,3,1,294,226,97,0,0,1,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
Otu172,6,5,35,0,85,33,67,44,328,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Chitinophagaceae,g__uncultured,
Otu210,3,8,12,97,134,49,157,20,81,k__Bacteria,p__Chlorobi,c__Ignavibacteria,o__Ignavibacteriales,f__IheB3-7,,
Otu111,68,46,110,2,9,4,28,39,363,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Parapusillimonas,
Otu240,150,143,266,34,43,37,7,5,23,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,
Otu99,7,43,882,1,1,0,0,0,2,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,
Otu156,4,1,10,12,13,5,338,24,92,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,
Otu91,0,2,1,0,2,1,147,49,347,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,
Otu198,6,24,61,159,216,121,1,3,6,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
Otu228,0,0,0,154,121,33,15,47,160,k__Bacteria,p__Cloacimonetes,c__FGL12-B44,,,,
Otu834,0,0,0,260,300,72,0,1,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
Otu34,3,5,29,0,1,6,289,24,166,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,
Otu291,0,0,0,0,2,0,324,6,253,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,
Otu138,6,2,1,6,306,205,3,2,4,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
